id;placed_date;status;code;invoice_id;customer_id
1;2019-04-10T07:52:50;COMPLETED;bandwidth;75087;8
2;2019-04-09T19:46:20;COMPLETED;Liechtenstein Buckinghamshire monetize;29763;9
3;2019-04-10T11:28:53;COMPLETED;time-frame Quality;95060;5
4;2019-04-10T00:07:07;COMPLETED;Money Market Account;55370;7
5;2019-04-10T08:46:32;COMPLETED;Cambridgeshire Tasty Rubber Car mindshare;88770;6
6;2019-04-10T05:27:33;COMPLETED;SDD bypassing;42609;8
7;2019-04-10T08:32:21;COMPLETED;panel Sleek Intelligent;98663;6
8;2019-04-10T04:53:55;COMPLETED;Pennsylvania dynamic bandwidth;48166;8
9;2019-04-10T04:48:34;COMPLETED;Cotton;49262;3
10;2019-04-10T13:36:31;COMPLETED;quantifying;74421;8
